ra,dec,apflux_r_0.5arcsec,apflux_r_0.75arcsec,apflux_r_1.0arcsec,apflux_r_1.5arcsec,apflux_r_2.0arcsec,apflux_r_3.5arcsec,apflux_r_5.0arcsec
63.72557878857784,-41.46381953,11.4427,20.7226,28.3735,36.6863,39.517,41.67,42.7047
63.72565172773864,-25.07830886,14.8627,24.008,30.358,36.7959,39.0538,40.8269,41.5064
63.72611305813627,-54.03725162,27.7841,46.7153,59.7434,71.4532,75.6196,78.9167,79.9312
63.728172799827256,-37.22055252,13.3141,22.0191,28.1425,34.6995,37.3102,39.4315,40.2794
63.72847951995381,-1.96674241,30.9361,50.9113,63.6185,74.0408,77.749,81.2597,82.723
63.73001118251478,2.916318154146774,5.3174,10.2899,15.3328,23.0478,27.2633,31.6984,33.7052
63.73636190168399,-20.55365257,59.6577,100.5633,129.3669,156.7542,166.7928,175.2381,177.2651
63.74262986689491,-10.86192661,35.1287,64.2044,87.6226,112.6796,122.7641,131.179,133.4477
63.74543489869773,-42.58408857,15.3175,27.3033,36.9201,47.3325,51.4581,54.9274,55.9818
63.74684321428639,0.0428300100643067,20.3304,36.587,50.2767,66.8898,74.5206,81.4716,83.4607
63.74698524772644,-55.10136774,18.7969,30.9731,40.1024,52.0685,57.0463,60.1106,60.9645
63.747198038088,5.831172257864923,15.6114,28.8886,40.6361,54.6889,61.1223,67.171,69.2428
63.747643711168415,3.220505142184705,3.941,8.1853,13.0868,22.4174,29.3336,37.412,39.9148
63.74783261878416,3.220338651298236,5.2777,10.6113,16.3311,26.0152,31.767,37.784,40.0445
63.74798135137983,-28.43394129,20.8416,36.2255,48.0015,60.5262,65.7049,70.2464,71.4602
63.74866426894173,-39.18975877,56.7089,95.0365,121.1989,145.3283,154.2016,161.6261,163.5036
63.74894129415132,1.813500921975908,15.577,28.4544,39.6441,53.9957,60.748,66.9043,69.2983
63.75028857011431,-57.20485413,24.5304,41.0983,53.3172,65.2713,68.9489,71.4118,72.5264
63.75036258141037,-45.43631262,33.8678,57.5722,74.6794,90.8509,96.4484,101.241,102.9424
63.7508502725697,-25.39852347,11.9527,21.2114,28.3224,35.422,37.9975,40.295,41.3296
63.75144596781488,-56.48430306,12.4144,22.4171,30.3586,37.9678,40.3307,41.9481,42.7086
63.75157665141864,-56.48415503,13.8504,23.8017,31.2646,38.3136,40.4429,41.9719,42.6942
63.753812493860266,0.5881746971530283,22.5711,38.5807,49.9768,61.4263,66.2616,70.7408,72.2796
63.75513908254197,-22.63708163,14.7304,25.5961,33.8114,42.2442,45.4925,48.3453,49.2942
63.75529384387518,-12.11929841,14.7531,25.7626,34.1933,42.91,46.3183,49.6056,51.3801
63.75682702838424,-44.52884367,11.3306,19.5972,25.9833,32.7246,35.0765,36.9033,37.6908
63.75881576708036,-71.79523295,7.2481,13.0546,17.9768,23.8884,26.4855,29.6642,31.1177
63.759921294722304,-75.04421971,34.3696,62.3858,86.3729,115.6058,128.7644,139.8634,142.2167
63.75999629790607,-30.93459609,17.3622,29.3762,38.2219,47.8778,51.8102,55.3286,57.1951
63.76017905771618,-3.488206263,27.5828,44.2185,55.7417,70.0923,76.389,80.4638,82.3217
